epoch, time, train_err, encoded_u_loss, encoded_v_loss, encoded_cp_loss, encoded_lognutratio_loss, lr
0, 23.88, 0.960485, 0.013761, 0.024018, 0.014645, 14.175809, 1.00e-03
20, 2.34, 0.088434, 0.187866, 0.204095, 0.120895, 14.288841, 9.99e-04
40, 2.31, 0.056279, 0.090066, 0.100788, 0.084565, 14.335856, 9.96e-04
60, 2.36, 0.047134, 0.058683, 0.062350, 0.062692, 14.358963, 9.91e-04
80, 2.32, 0.044088, 0.040301, 0.045486, 0.044894, 14.375506, 9.84e-04
100, 2.30, 0.041308, 0.032759, 0.040441, 0.035355, 14.366567, 9.75e-04
120, 2.30, 0.039480, 0.022941, 0.030493, 0.031056, 14.343955, 9.64e-04
140, 2.36, 0.032582, 0.019713, 0.026748, 0.027631, 14.341834, 9.52e-04
160, 2.35, 0.031066, 0.016078, 0.021167, 0.026231, 14.316607, 9.37e-04
180, 2.34, 0.033453, 0.016503, 0.021482, 0.024354, 14.304381, 9.21e-04
0, 24.97, 0.968229, 0.009177, 0.013050, 0.012148, 14.099926, 1.00e-03
20, 2.33, 0.098671, 0.030430, 0.017379, 0.023785, 14.275897, 9.99e-04
40, 2.35, 0.058306, 0.031920, 0.015163, 0.023720, 14.391332, 9.96e-04
60, 2.27, 0.046650, 0.029821, 0.012876, 0.021537, 14.424219, 9.91e-04
80, 2.35, 0.044314, 0.027358, 0.012244, 0.019486, 14.446709, 9.84e-04
100, 2.36, 0.037846, 0.025062, 0.011989, 0.018240, 14.442812, 9.75e-04
120, 2.32, 0.036841, 0.021612, 0.011337, 0.016425, 14.406979, 9.64e-04
140, 2.36, 0.031936, 0.020681, 0.010808, 0.015029, 14.403937, 9.52e-04
160, 2.31, 0.032431, 0.019717, 0.010754, 0.013458, 14.399930, 9.37e-04
180, 2.37, 0.029666, 0.017199, 0.010459, 0.011705, 14.368306, 9.21e-04
200, 2.37, 0.030182, 0.016303, 0.010441, 0.010759, 14.368389, 9.04e-04
220, 2.37, 0.027448, 0.015988, 0.010718, 0.009855, 14.379121, 8.84e-04
240, 2.36, 0.025404, 0.015111, 0.010562, 0.009228, 14.383708, 8.63e-04
260, 2.30, 0.025570, 0.014619, 0.010683, 0.009064, 14.389588, 8.41e-04
280, 2.35, 0.027658, 0.014469, 0.010305, 0.008750, 14.393329, 8.18e-04
300, 2.39, 0.026352, 0.014791, 0.010493, 0.008595, 14.408578, 7.93e-04
320, 2.33, 0.025313, 0.014083, 0.010439, 0.008376, 14.401267, 7.67e-04
340, 2.32, 0.024857, 0.013785, 0.010641, 0.008390, 14.422945, 7.39e-04
360, 2.34, 0.027540, 0.013954, 0.010968, 0.008750, 14.423985, 7.11e-04
380, 2.34, 0.027126, 0.014097, 0.011107, 0.008570, 14.414299, 6.83e-04
400, 2.38, 0.022796, 0.014086, 0.011640, 0.008490, 14.415412, 6.53e-04
420, 2.35, 0.021352, 0.014153, 0.011272, 0.008113, 14.415761, 6.23e-04
440, 2.36, 0.020189, 0.014157, 0.011523, 0.008284, 14.402531, 5.92e-04
460, 2.30, 0.019506, 0.014277, 0.011652, 0.008323, 14.393362, 5.61e-04
480, 2.38, 0.022355, 0.014394, 0.011764, 0.008292, 14.386230, 5.30e-04
500, 2.37, 0.021886, 0.014308, 0.011861, 0.008165, 14.386932, 4.98e-04
520, 2.36, nan, nan, nan, nan, nan, 4.67e-04
540, 2.39, nan, nan, nan, nan, nan, 4.36e-04
0, 13.32, 0.968599, 0.009654, 0.008963, 0.012222, 13.717770, 1.00e-03
20, 2.30, 0.127943, 0.016613, 0.016108, 0.020879, 14.189429, 9.99e-04
40, 2.32, 0.060296, 0.010067, 0.014933, 0.024177, 14.293403, 9.96e-04
60, 2.29, 0.050466, 0.009560, 0.016196, 0.028849, 14.293093, 9.91e-04
80, 2.32, 0.043262, 0.009605, 0.018600, 0.027264, 14.265274, 9.84e-04
100, 2.33, 0.040513, 0.010172, 0.019052, 0.027547, 14.207502, 9.75e-04
120, 2.31, 0.038880, 0.010097, 0.019535, 0.026007, 14.204740, 9.64e-04
140, 2.32, 0.036671, 0.010239, 0.019776, 0.026214, 14.191878, 9.52e-04
160, 2.32, 0.035349, 0.010278, 0.019804, 0.023434, 14.180303, 9.37e-04
180, 2.32, 0.029985, 0.011532, 0.020698, 0.022811, 14.146257, 9.21e-04
200, 2.28, 0.034533, 0.011460, 0.020717, 0.020804, 14.153369, 9.04e-04
220, 2.32, 0.028573, 0.012129, 0.020812, 0.017859, 14.126806, 8.84e-04
240, 2.31, 0.029275, 0.012239, 0.020408, 0.017149, 14.115941, 8.63e-04
260, 2.32, 0.029658, 0.012705, 0.019858, 0.016796, 14.105238, 8.41e-04
280, 2.30, 0.026278, 0.011737, 0.019867, 0.016013, 14.117550, 8.18e-04
300, 2.29, 0.025954, 0.011859, 0.019305, 0.015004, 14.131149, 7.93e-04
320, 2.33, 0.023511, 0.012264, 0.019091, 0.015084, 14.128887, 7.67e-04
340, 2.30, 0.024830, 0.012439, 0.018232, 0.014168, 14.136919, 7.39e-04
360, 2.30, 0.022889, 0.012765, 0.018282, 0.013568, 14.137980, 7.11e-04
380, 2.32, 0.022570, 0.012578, 0.018033, 0.013607, 14.142893, 6.83e-04
400, 2.29, 0.021291, 0.012724, 0.017111, 0.012948, 14.157959, 6.53e-04
420, 2.35, 0.024776, 0.013050, 0.017034, 0.013336, 14.159726, 6.23e-04
440, 2.28, 0.022303, 0.013212, 0.016673, 0.012962, 14.169759, 5.92e-04
460, 2.28, 0.020818, 0.013236, 0.016202, 0.013333, 14.173512, 5.61e-04
480, 2.32, 0.019490, 0.013440, 0.016121, 0.013554, 14.173159, 5.30e-04
500, 2.32, 0.021525, 0.013614, 0.016027, 0.013215, 14.180130, 4.98e-04
520, 2.28, 0.018874, 0.014198, 0.015637, 0.013099, 14.188209, 4.67e-04
540, 2.27, 0.021992, 0.014693, 0.015555, 0.013655, 14.185262, 4.36e-04
560, 2.28, 0.018891, 0.014780, 0.015188, 0.013450, 14.208143, 4.05e-04
580, 2.32, 0.021079, 0.014863, 0.015061, 0.013736, 14.221130, 3.74e-04
600, 2.33, 0.017830, 0.015024, 0.015097, 0.013655, 14.245977, 3.44e-04
620, 2.35, 0.019111, 0.015208, 0.014763, 0.013535, 14.249408, 3.14e-04
640, 2.32, 0.019190, 0.015889, 0.014592, 0.013447, 14.269014, 2.86e-04
660, 2.34, 0.016928, 0.016291, 0.014589, 0.013546, 14.280536, 2.58e-04
680, 2.30, 0.018085, 0.015993, 0.014751, 0.013429, 14.267177, 2.31e-04
700, 2.31, 0.017295, 0.016081, 0.014520, 0.013347, 14.263287, 2.05e-04
720, 2.34, 0.016686, 0.016007, 0.014304, 0.013322, 14.260625, 1.80e-04
740, 2.32, 0.015947, 0.015917, 0.014016, 0.013429, 14.264379, 1.57e-04
760, 2.26, 0.015316, 0.015931, 0.014135, 0.013420, 14.264186, 1.34e-04
780, 2.36, 0.015263, 0.015821, 0.014243, 0.013364, 14.263905, 1.14e-04
800, 2.30, 0.015019, 0.015879, 0.014261, 0.013293, 14.265879, 9.46e-05
820, 2.31, 0.015175, 0.015940, 0.014342, 0.013118, 14.259306, 7.70e-05
840, 2.33, 0.014729, 0.016116, 0.014307, 0.013101, 14.261855, 6.11e-05
860, 2.26, 0.014537, 0.016142, 0.014295, 0.013107, 14.266625, 4.69e-05
880, 2.30, 0.014204, 0.015956, 0.014310, 0.013032, 14.265212, 3.45e-05
900, 2.28, 0.014113, 0.015937, 0.014305, 0.012961, 14.262717, 2.40e-05
920, 2.33, 0.013935, 0.015976, 0.014276, 0.012898, 14.259117, 1.53e-05
940, 2.29, 0.013823, 0.015992, 0.014287, 0.012892, 14.259536, 8.56e-06
960, 2.35, 0.013747, 0.016011, 0.014303, 0.012895, 14.259639, 3.75e-06
980, 2.31, 0.013701, 0.016023, 0.014305, 0.012900, 14.259852, 8.90e-07
