epoch, time, train_err, encoded_u_loss, encoded_v_loss, encoded_cp_loss, encoded_lognutratio_loss, lr
0, 25.23, 0.952497, 0.068967, 0.125305, 0.025446, 14.067751, 1.00e-03
10, 2.35, 0.256091, 0.166245, 0.179912, 0.139737, 14.264017, 9.99e-04
20, 2.33, 0.089025, 0.155057, 0.144965, 0.144511, 14.594920, 9.96e-04
30, 2.31, 0.063904, 0.127495, 0.119520, 0.143513, 14.512930, 9.91e-04
40, 2.36, 0.055206, 0.119991, 0.113775, 0.141631, 14.490055, 9.84e-04
50, 2.30, 0.050340, 0.107399, 0.105803, 0.134606, 14.466207, 9.75e-04
60, 2.31, 0.047394, 0.100451, 0.102595, 0.126274, 14.456261, 9.64e-04
70, 2.35, 0.043388, 0.090224, 0.098751, 0.120639, 14.424109, 9.51e-04
80, 2.30, 0.039990, 0.079193, 0.092132, 0.114817, 14.422905, 9.37e-04
90, 2.36, 0.036691, 0.066502, 0.089485, 0.106149, 14.393467, 9.20e-04
100, 2.31, 0.038551, 0.061432, 0.096694, 0.103806, 14.358275, 9.03e-04
110, 2.36, 0.035751, 0.054412, 0.092465, 0.095835, 14.348629, 8.83e-04
120, 2.30, 0.033913, 0.049996, 0.089949, 0.093220, 14.341326, 8.62e-04
130, 2.35, 0.032595, 0.043401, 0.083516, 0.084984, 14.346128, 8.40e-04
140, 2.30, 0.031324, 0.039250, 0.083897, 0.082066, 14.350316, 8.16e-04
150, 2.31, 0.030460, 0.035575, 0.080450, 0.079011, 14.352890, 7.91e-04
160, 2.30, 0.033785, 0.032236, 0.073280, 0.074827, 14.362677, 7.65e-04
170, 2.32, 0.028121, 0.030492, 0.074841, 0.073036, 14.371509, 7.38e-04
180, 2.32, 0.031920, 0.029637, 0.074558, 0.074010, 14.361135, 7.10e-04
190, 2.30, 0.028608, 0.029190, 0.077094, 0.073722, 14.380237, 6.81e-04
0, 24.15, 0.965945, 0.016562, 0.021545, 0.017641, 14.473598, 1.00e-03
10, 2.34, 0.257783, 0.060241, 0.069569, 0.096838, 14.217043, 9.99e-04
20, 2.28, 0.085878, 0.079467, 0.069472, 0.097137, 14.562093, 9.96e-04
30, 2.31, 0.062228, 0.071604, 0.043247, 0.092045, 14.545525, 9.91e-04
40, 2.31, 0.053761, 0.064750, 0.035764, 0.086579, 14.604110, 9.84e-04
50, 2.35, 0.049409, 0.051803, 0.029284, 0.074947, 14.671803, 9.75e-04
60, 2.35, 0.047909, 0.042863, 0.028314, 0.068325, 14.732979, 9.64e-04
70, 2.33, 0.045757, 0.036662, 0.028691, 0.062122, 14.765101, 9.51e-04
80, 2.29, 0.040296, 0.032488, 0.028383, 0.057766, 14.745057, 9.37e-04
90, 2.28, 0.037505, 0.027143, 0.027594, 0.053446, 14.725096, 9.20e-04
100, 2.34, 0.036248, 0.024173, 0.026711, 0.049573, 14.699378, 9.03e-04
110, 2.35, 0.037873, 0.024214, 0.028257, 0.048941, 14.655274, 8.83e-04
120, 2.31, 0.032704, 0.019585, 0.026390, 0.042935, 14.607715, 8.62e-04
130, 2.36, 0.033848, 0.019824, 0.027459, 0.041732, 14.635632, 8.40e-04
140, 2.35, 0.034114, 0.019064, 0.028363, 0.039784, 14.617334, 8.16e-04
150, 2.29, 0.033533, 0.017481, 0.027064, 0.036684, 14.609032, 7.91e-04
160, 2.35, 0.033479, 0.016678, 0.026997, 0.035013, 14.589865, 7.65e-04
170, 2.35, 0.030543, 0.016679, 0.025982, 0.032908, 14.563399, 7.38e-04
180, 2.32, 0.031334, 0.016987, 0.026365, 0.033569, 14.560902, 7.10e-04
190, 2.35, 0.029942, 0.015580, 0.025097, 0.031382, 14.534266, 6.81e-04
0, 24.77, 0.953328, 0.034374, 0.008364, 0.019329, 14.062290, 1.00e-03
10, 2.29, 0.253962, 0.025598, 0.096057, 0.037922, 14.540123, 9.99e-04
20, 2.29, 0.085391, 0.018844, 0.039441, 0.030364, 14.592465, 9.96e-04
30, 2.28, 0.062355, 0.017405, 0.034666, 0.034793, 14.474810, 9.91e-04
40, 2.35, 0.054564, 0.020902, 0.036873, 0.040609, 14.418569, 9.84e-04
