epoch, time, train_err, enc_u_loss, enc_v_loss, enc_cp_loss, enc_lognutratio_loss, lr
0,14.97,0.952930,0.966165,0.944848,0.959843,0.899045,1.00e-03
20,4.01,0.091743,0.105551,0.041779,0.078429,0.615058,9.99e-04
40,4.37,0.051956,0.060514,0.028782,0.053447,0.220415,9.96e-04
60,4.07,0.043466,0.052104,0.025657,0.046562,0.144944,9.91e-04
80,4.44,0.035602,0.044397,0.020916,0.037360,0.115620,9.84e-04
100,4.04,0.033258,0.041665,0.020046,0.034931,0.101542,9.75e-04
120,4.30,0.031769,0.040552,0.019258,0.033443,0.090778,9.64e-04
140,4.16,0.029794,0.038342,0.017480,0.031719,0.086248,9.52e-04
160,4.30,0.028566,0.037841,0.016780,0.029657,0.082037,9.37e-04
180,4.12,0.028191,0.036689,0.016971,0.029539,0.078618,9.21e-04
200,4.22,0.025506,0.033391,0.015628,0.025984,0.073152,9.04e-04
220,4.05,0.024035,0.031859,0.014225,0.024496,0.071502,8.84e-04
240,4.02,0.023322,0.030369,0.013728,0.024343,0.068822,8.63e-04
260,4.19,0.020861,0.028193,0.012203,0.020677,0.064911,8.41e-04
280,4.08,0.023730,0.030365,0.014436,0.025135,0.065633,8.18e-04
300,4.69,0.020204,0.026245,0.011984,0.020586,0.063090,7.93e-04
320,4.08,0.018828,0.025430,0.010809,0.018572,0.061443,7.67e-04
340,4.42,0.019186,0.024763,0.011570,0.019596,0.058600,7.39e-04
360,4.10,0.017031,0.022382,0.010013,0.016711,0.057667,7.11e-04
380,4.10,0.018317,0.023351,0.010849,0.019041,0.056998,6.83e-04
400,4.58,0.017071,0.022487,0.010110,0.016779,0.056528,6.53e-04
420,4.01,0.020412,0.027309,0.011871,0.021134,0.058658,6.23e-04
440,4.07,0.015953,0.020504,0.009675,0.015398,0.055877,5.92e-04
460,4.49,0.015330,0.019844,0.009183,0.014930,0.052913,5.61e-04
480,4.04,0.014983,0.019302,0.009196,0.014216,0.053066,5.30e-04
500,4.05,0.015602,0.020521,0.009269,0.015148,0.053044,4.98e-04
520,4.18,0.015892,0.020231,0.009555,0.016017,0.052215,4.67e-04
540,4.04,0.014857,0.019206,0.008848,0.014577,0.051079,4.36e-04
560,4.21,0.015343,0.019850,0.009140,0.015128,0.052056,4.05e-04
580,4.63,0.013406,0.017085,0.007918,0.012887,0.050376,3.74e-04
600,4.03,0.013583,0.017171,0.008024,0.013295,0.049961,3.44e-04
620,4.13,0.012168,0.015238,0.006977,0.011840,0.048290,3.14e-04
640,4.31,0.013802,0.017894,0.007895,0.013773,0.048546,2.86e-04
660,4.07,0.012140,0.015301,0.007167,0.011566,0.047494,2.58e-04
680,4.30,0.013396,0.017193,0.007786,0.013257,0.047831,2.31e-04
700,4.12,0.012511,0.016473,0.007259,0.011780,0.047121,2.05e-04
720,4.10,0.011657,0.014659,0.006901,0.010999,0.046456,1.80e-04
740,4.18,0.011273,0.014429,0.006550,0.010463,0.046051,1.57e-04
760,4.10,0.010901,0.013889,0.006256,0.010121,0.045664,1.34e-04
780,4.48,0.010501,0.013090,0.006023,0.009787,0.045452,1.14e-04
800,4.11,0.010709,0.013605,0.006056,0.010018,0.045397,9.46e-05
820,4.18,0.010139,0.012897,0.005745,0.009191,0.045117,7.70e-05
840,4.09,0.009884,0.012418,0.005604,0.008953,0.044920,6.11e-05
860,4.53,0.009840,0.012493,0.005611,0.008772,0.044769,4.69e-05
880,4.13,0.009617,0.012124,0.005436,0.008596,0.044535,3.45e-05
900,4.57,0.009432,0.011809,0.005324,0.008406,0.044458,2.40e-05
920,4.06,0.009275,0.011567,0.005247,0.008209,0.044328,1.53e-05
940,4.12,0.009184,0.011331,0.005215,0.008153,0.044260,8.56e-06
960,4.07,0.009116,0.011211,0.005183,0.008072,0.044228,3.75e-06
980,4.45,0.009072,0.011124,0.005170,0.008022,0.044191,8.90e-07
